xP, yP, zP, xR, yR, zR
0,0.6,0,0,0,0
0,0.596076,0,0,0,0
0,0.588228,0,0,0,0
0,0.5764561,0,0,0,0
0,0.5607601,0,0,0,0
0,0.5411401,0,0,0,0
0,0.5175961,0,0,0,0
0,0.5035192,0,0,0,0
0,0.5007039,0,0,0,0
0,0.5001408,0,0,0,0
0,0.5000281,0,0,0,0
0,0.5000056,0,0,0,0
0,0.5000011,0,0,0,0
0,0.5000002,0,0,0,0
0,0.5000001,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
0,0.5,0,0,0,0
-0.0001172498,0.5,0.007291195,0,0.003891138,0
-2.973201E-05,0.5,0.02187383,0,0.007778689,0
9.723989E-05,0.5,0.04374746,0,0.01166418,0
2.479261E-05,0.5,0.0729125,0,0.007766472,0
-8.650428E-05,0.5,0.1093686,0,0.003880705,0
7.634226E-07,0.5,0.153116,0,0.00777789,0
0.0001284281,0.5,0.2041546,0,0.01166358,0
6.009531E-05,0.5,0.2624844,0,0.00776651,0
-4.708706E-05,0.5,0.3281054,0,0.003880742,0
4.277196E-05,0.5,0.4010176,0,0.00777764,0
0.0001732434,0.5,0.481221,0,0.0116668,0
0.000108861,0.5,0.5687156,0,0.007769938,0
5.639216E-06,0.5,0.6635014,0,0.00388417,0
9.877529E-05,0.5,0.7655784,0,0.007780941,0
0.0002326,0.5,0.8749466,0,0.01167012,0
0.000172146,0.5,0.9916061,0,0.007773364,0
7.285968E-05,0.5,1.115557,0,0.003887596,0
0.0001695421,0.5,1.246799,0,0.007784293,0
7.244913E-05,0.5,1.385332,0,0.003887767,0
0.0001714967,0.5,1.531156,0,0.007784456,0
0.0003112633,0.5,1.684271,0,0.01167364,0
0.0002577131,0.5,1.844678,0,0.01555958,0
0.0004005894,0.5,2.012375,0,0.0194489,0
0.0005858127,0.5,2.187364,0,0.02333808,0
0.0008131673,0.4999999,2.369644,0,0.02723051,0
0.001082522,0.4999999,2.559216,0,0.03112295,0
0.001393815,0.4999999,2.756078,0,0.03502209,0
0.001513053,0.4999999,2.960232,0,0.03889119,0
0.001595826,0.4999999,3.171677,0,0.04275669,0
0.001643864,0.4999999,3.390413,0,0.04661849,0
0.001658801,0.4999998,3.61644,0,0.05047318,0
0.001642177,0.4999998,3.849759,0,0.05432778,0
0.00168096,0.5,4.090368,0,0.05719906,0
0.001717356,0.5,4.338269,0,0.05939092,0
0.001727822,0.4999999,4.593462,0,0.06180347,0
0.001683144,0.4999999,4.855945,0,0.06561232,0
0.001645022,0.4999999,5.125719,0,0.06310035,0
0.001629057,0.4999999,5.402785,0,0.06209334,0
0.001730585,0.4999999,5.687142,0,0.06436307,0
0.001912342,0.4999999,5.97879,0,0.06047976,0
0.002145372,0.5,6.277729,0,0.06438377,0
0.002429161,0.4999999,6.58396,0,0.06828373,0
0.002759899,0.4999999,6.891251,0,0.07218887,0
0.003135923,0.4999999,7.198542,0,0.07610238,0
0.003556269,0.4999998,7.505833,0,0.08002275,0
0.004020024,0.5,7.813123,0,0.08391239,0
0.004526298,0.5,8.120414,0,0.08780865,0
0.005074295,0.4999999,8.427705,0,0.09171165,0
0.005663202,0.4999999,8.734995,0,0.09562497,0
0.006292235,0.5,9.042285,0,0.0995075,0
0.006960635,0.4999999,9.349575,0,0.1034,0
0.007667721,0.4999999,9.656865,0,0.1073029,0
0.00841279,0.4999999,9.964155,0,359.1112,0
0.009192473,0.4999999,10.27145,0,358.1151,0
0.009798003,0.4999999,10.57873,0,357.1189,0
0.01002873,0.4999999,10.88602,0,356.1228,0
0.009691858,0.5,11.19329,0,355.1266,0
0.008602252,0.5,11.50056,0,355.1303,0
0.006585849,0.4999999,11.8078,0,355.1342,0
0.003679291,0.4999999,12.11505,0,355.1379,0
-8.220389E-05,0.4999998,12.42228,0,355.1418,0
-0.004664702,0.5,12.72951,0,355.1456,0
-0.01003568,0.5,13.03673,0,355.1494,0
-0.01616372,0.5,13.34393,0,355.1532,0
-0.02301867,0.4999999,13.65112,0,355.157,0
-0.03057159,0.4999999,13.9583,0,355.1608,0
-0.03879457,0.4999999,14.26546,0,355.1647,0
-0.04766082,0.4999998,14.5726,0,355.1685,0
-0.05714459,0.5,14.87973,0,356.1723,0
-0.06721795,0.4999999,15.18684,0,357.1762,0
-0.07764999,0.4999999,15.49394,0,358.1801,0
-0.08821824,0.4999999,15.80105,0,359.184,0
-0.09870901,0.4999999,16.10816,0,0.1878914,0
-0.1089168,0.4999999,16.41528,0,1.191805,0
-0.1186444,0.5,16.72241,0,2.195713,0
-0.1277023,0.5,17.02955,0,3.199609,0
-0.1359086,0.5,17.33671,0,4.203487,0
-0.1430887,0.4999999,17.64388,0,5.207363,0
-0.149075,0.5,17.95106,0,6.211204,0
-0.1537067,0.4999999,18.25824,0,7.215041,0
-0.1568293,0.4999999,18.56543,0,8.218837,0
-0.1582949,0.5,18.87261,0,9.222593,0
-0.1579615,0.5,19.17977,0,10.22632,0
-0.1559001,0.5,19.48691,0,11.22997,0
-0.1518391,0.4999999,19.794,0,12.23356,0
-0.1454482,0.4999998,20.10103,0,13.22995,0
-0.1367431,0.4999999,20.40799,0,14.2264,0
-0.12561,0.4999999,20.71484,0,15.22289,0
-0.1119405,0.4999999,21.02157,0,16.21941,0
-0.09563071,0.4999999,21.32814,0,17.21597,0
-0.07658138,0.4999999,21.63454,0,18.21258,0
-0.05469761,0.4999999,21.94072,0,19.20923,0
-0.02988867,0.4999999,22.24666,0,20.20591,0
-0.002068054,0.4999999,22.55231,0,21.20264,0
0.02884672,0.4999999,22.85765,0,22.19941,0
0.05864117,0.4999999,23.15144,0,23.19628,0
0.08800665,0.5,23.44053,0,24.19326,0
0.116941,0.4999999,23.72494,0,25.19036,0
0.1454421,0.4999999,24.00465,0,26.18758,0
0.1735074,0.4999999,24.27968,0,27.18493,0
0.2011345,0.4999999,24.55002,0,28.18241,0
0.2283205,0.4999999,24.81567,0,29.18003,0
0.2550628,0.5,25.07664,0,30.17778,0
0.2813585,0.5,25.33291,0,31.17568,0
0.3072044,0.4999999,25.5845,0,32.17375,0
0.3325974,0.4999999,25.8314,0,33.17195,0
0.3575345,0.5,26.07361,0,34.17031,0
0.3820123,0.4999999,26.31114,0,35.16885,0
0.4060276,0.4999999,26.54398,0,36.16754,0
0.4295771,0.5,26.77214,0,37.16639,0
0.4523762,0.5,26.99564,0,38.12851,0
0.4744741,0.4999999,27.21448,0,39.08288,0
0.4959436,0.4999999,27.42864,0,40.04173,0
0.5168374,0.4999999,27.63814,0,41.00668,0
0.5371861,0.5,27.84295,0,41.97624,0
0.5570088,0.4999999,28.04309,0,42.94877,0
0.5763211,0.4999999,28.23855,0,43.92406,0
0.5952039,0.4999999,28.42931,0,44.92397,0
0.6136083,0.4999999,28.61539,0,45.92354,0
0.631535,0.4999999,28.79679,0,46.92295,0
0.6489812,0.4999999,28.9735,0,47.92218,0
0.6659442,0.5,29.14553,0,48.92123,0
0.6824217,0.4999999,29.31287,0,49.92012,0
0.7072566,0.4999999,29.48345,0,50.91928,0
0.7403857,0.5,29.65712,0,51.91872,0
0.7817549,0.4999999,29.83378,0,52.91838,0
0.8313188,0.4999999,30.0133,0,53.91827,0
0.8890399,0.4999999,30.19556,0,54.91835,0
0.9548875,0.5,30.38045,0,55.91863,0
1.028837,0.5,30.56785,0,56.91906,0
1.11087,0.5,30.75765,0,57.91964,0
1.191039,0.5,30.94313,0,58.92005,0
1.269341,0.5,31.12428,0,59.92029,0
1.345771,0.5,31.30112,0,60.92034,0
1.420329,0.4999999,31.47363,0,61.92022,0
1.49301,0.5,31.64182,0,62.91991,0
1.563812,0.5,31.8057,0,63.91945,0
1.632733,0.5,31.96526,0,64.9188,0
1.699739,0.5,32.12051,0,65.896,0
1.764815,0.4999999,32.27148,0,66.8638,0
1.827951,0.5,32.41815,0,67.82436,0
1.889137,0.5,32.56053,0,68.77666,0
1.948359,0.4999999,32.69863,0,69.718,0
2.005603,0.4999999,32.83246,0,70.64442,0
2.060852,0.4999999,32.96202,0,71.55064,0
2.114089,0.5,33.08731,0,72.4304,0
2.165303,0.5,33.20835,0,73.27724,0
2.214492,0.5,33.32514,0,74.08582,0
2.261669,0.5,33.43766,0,74.85382,0
2.306861,0.4999999,33.54591,0,75.58358,0
2.350113,0.5,33.64986,0,76.28295,0
2.391479,0.4999999,33.7495,0,76.96458,0
2.431013,0.4999999,33.84481,0,77.64371,0
2.468785,0.4999999,33.93574,0,78.33286,0
2.504797,0.4999999,34.02231,0,79.03813,0
2.539029,0.4999999,34.10452,0,79.76468,0
2.571444,0.4999999,34.18238,0,80.51643,0
2.602123,0.4999999,34.25587,0,81.2977,0
2.631015,0.4999999,34.325,0,82.1105,0
2.6581,0.4999999,34.38978,0,82.95599,0
2.683368,0.4999999,34.45021,0,83.83452,0
2.718015,0.4999999,34.50817,0,84.68625,0
2.761345,0.5,34.564,0,85.49721,0
2.812865,0.4999999,34.61806,0,86.3117,0
2.872494,0.4999999,34.67039,0,87.17893,0
2.940325,0.4999999,34.72075,0,88.09782,0
3.016081,0.5,34.76934,0,89.05048,0
3.087764,0.5,34.81556,0,90.00358,0
3.1555,0.5,34.85921,0,90.97048,0
3.21923,0.5,34.90038,0,91.92445,0
3.278904,0.5,34.93916,0,92.85057,0
3.334431,0.5,34.97567,0,93.73585,0
3.385673,0.4999999,35.01014,0,94.56718,0
3.433056,0.5,35.0419,0,95.54467,0
3.476482,0.4999999,35.07111,0,96.56255,0
3.515967,0.5,35.09774,0,97.58925,0
3.551538,0.4999999,35.12175,0,98.58821,0
3.583195,0.5,35.14314,0,99.58721,0
3.610936,0.4999999,35.16192,0,100.586,0
3.634761,0.5,35.17809,0,101.5847,0
3.65467,0.4999999,35.19164,0,102.5832,0
3.670664,0.4999999,35.20257,0,103.5815,0
3.682746,0.5,35.21088,0,104.5796,0
3.69092,0.5000001,35.21656,0,105.5776,0
3.695194,0.5000002,35.21961,0,106.5754,0
3.695715,0.5000002,35.21999,0,106.5892,0
3.695768,0.5000003,35.22002,0,106.5908,0
3.695769,0.5000004,35.22002,0,106.5909,0
3.695769,0.5000004,35.22002,0,106.5909,0
3.695769,0.5000004,35.22002,0,106.5909,0
3.695769,0.5000004,35.22002,0,106.5909,0
3.695769,0.5000004,35.22002,0,106.5909,0
3.70279,0.5000004,35.21806,0,107.5947,0
3.716806,0.5000004,35.21403,0,108.5986,0
3.737766,0.5000005,35.20778,0,109.6025,0
3.754228,0.5000006,35.20292,0,110.6063,0
3.766188,0.5000008,35.19945,0,111.6101,0
3.773642,0.5000008,35.19734,0,112.6138,0
3.776583,0.500001,35.19658,0,113.6176,0
3.776649,0.500001,35.19671,0,113.6236,0
3.776649,0.5000009,35.19671,0,113.6236,0
3.776649,0.5000009,35.19671,0,113.6236,0
3.783376,0.500001,35.19389,0,114.6275,0
3.796137,0.5004877,35.18847,0,115.6319,0
3.814501,0.5017594,35.18036,0,116.6369,0
3.838664,0.5035264,35.16915,0,117.6423,0
3.857995,0.5055979,35.15987,0,118.648,0
3.872372,0.5077832,35.15258,0,119.654,0
3.882994,0.5091797,35.14682,0,120.6589,0
3.889593,0.5101423,35.14309,0,121.6634,0
3.892204,0.5107377,35.1416,0,122.6678,0
3.892248,0.5110364,35.14175,0,122.6726,0
3.897824,0.5113211,35.1383,0,123.6769,0
3.908765,0.5120388,35.13136,0,124.6814,0
3.92499,0.5131586,35.12074,0,125.686,0
3.936925,0.5142903,35.11279,0,126.6906,0
3.944901,0.515139,35.10733,0,127.695,0
3.949043,0.5156584,35.10444,0,128.6992,0
3.949549,0.5158495,35.10436,0,128.7141,0
3.955309,0.5161299,35.09986,0,129.7184,0
3.966197,0.5167015,35.09118,0,130.7228,0
3.982035,0.5176277,35.07824,0,131.7274,0
4.002697,0.518912,35.06089,0,132.7321,0
4.028066,0.5205474,35.03899,0,133.7371,0
4.049743,0.5230873,35.01746,0,134.645,0
4.068885,0.5246207,34.99629,0,135.554,0
4.084987,0.5257332,34.97566,0,136.4518,0
4.097871,0.5265384,34.95571,0,137.3309,0
4.107386,0.5270529,34.93659,0,138.183,0
4.121105,0.5278893,34.90964,0,139.01,0
4.138794,0.5290261,34.87472,0,139.8263,0
4.160313,0.5304509,34.83176,0,140.6354,0
4.178395,0.5315912,34.78987,0,141.4155,0
4.193092,0.5324656,34.74921,0,142.1472,0
4.204478,0.5330911,34.71,0,142.8089,0
4.212638,0.53349,34.67241,0,143.3768,0
4.21768,0.5336877,34.63666,0,143.8245,0
4.219733,0.5337142,34.60297,0,144.1224,0
4.218956,0.5336028,34.57155,0,144.2379,0
4.215539,0.5333881,34.54263,0,144.1353,0
4.215987,0.5335735,34.5066,0,143.8427,0
4.220192,0.5341288,34.46326,0,143.3939,0
4.228132,0.5350366,34.41252,0,142.8097,0
4.239831,0.5362866,34.35433,0,142.1031,0
4.255352,0.5378733,34.28869,0,141.282,0
4.274785,0.5397943,34.21563,0,140.3503,0
4.29824,0.5420486,34.1352,0,139.3095,0
4.315552,0.5438349,34.058,0,138.1016,0
4.326918,0.5451822,33.9844,0,136.6247,0
4.332611,0.5461006,33.91477,0,134.778,0
4.33311,0.54655,33.84843,0,132.5977,0
4.331089,0.5466046,33.78164,0,130.5202,0
4.327264,0.5463856,33.715,0,128.4376,0
4.325467,0.5461959,33.64835,0,126.3652,0
4.326085,0.546069,33.58195,0,124.2924,0
4.333669,0.546337,33.51311,0,121.8361,0
4.346401,0.5467568,33.44102,0,119.0916,0
4.365222,0.5473313,33.36627,0,116.0441,0
4.391217,0.5480611,33.2897,0,112.6777,0
4.42287,0.5489627,33.20697,0,109.5468,0
4.459183,0.5498825,33.12122,0,106.2264,0
4.500488,0.5507493,33.03283,0,102.7141,0
4.539943,0.5511337,32.94445,0,99.25951,0
4.578279,0.5512601,32.8588,0,95.9509,0
4.615207,0.5510886,32.77566,0,92.75096,0
4.649139,0.5543132,32.69801,0,89.8023,0
4.680853,0.5590413,32.62444,0,87.0232,0
4.710957,0.5637631,32.55387,0,84.35322,0
4.73958,0.5681854,32.48609,0,81.77715,0
4.766756,0.572264,32.42105,0,79.28878,0
4.79194,0.5761551,32.36007,0,76.6312,0
4.810965,0.5793959,32.30155,0,73.90332,0
4.825391,0.5819174,32.24252,0,69.3818,0
4.834444,0.5843446,32.1827,0,65.09231,0
4.839089,0.5860395,32.12203,0,60.9958,0
4.843701,0.5872448,32.06139,0,56.99212,0
4.848038,0.587958,32.00076,0,53.0791,0
4.852099,0.5881874,31.94012,0,49.25059,0
4.856293,0.5879868,31.87984,0,45.45619,0
4.864262,0.5876657,31.82043,0,41.68962,0
4.880089,0.5876053,31.76963,0,38.02404,0
4.899182,0.587517,31.72489,0,34.60764,0
4.921075,0.5874482,31.68652,0,31.41862,0
4.945167,0.5874048,31.65494,0,28.41697,0
4.970691,0.5873416,31.6305,0,25.55715,0
4.998708,0.5872806,31.61522,0,22.70839,0
5.025615,0.5869702,31.60665,0,21.96291,0
5.049754,0.588228,31.60145,0,21.6472,0
5.073351,0.5902105,31.60018,0,21.84931,0
5.097444,0.5927797,31.60339,0,22.57492,0
5.121697,0.5955451,31.61372,0,23.48607,0
5.148799,0.5985818,31.63358,0,24.4712,0
5.175605,0.6016256,31.66112,0,25.51972,0
5.206844,0.6011691,31.69942,0,26.5518,0
5.238549,0.6011075,31.74531,0,27.65662,0
5.27106,0.6011274,31.79893,0,28.79907,0
5.304826,0.6007974,31.86062,0,29.98625,0
5.339507,0.6007583,31.92958,0,31.24556,0
5.375541,0.600785,32.0058,0,32.58355,0
5.413294,0.6008338,32.08908,0,34.00503,0
5.45342,0.6007762,32.17922,0,34.50916,0
5.49646,0.6008191,32.27565,0,35.0972,0
5.543163,0.6008909,32.37809,0,35.75267,0
5.594403,0.6009766,32.48615,0,35.4461,0
5.650624,0.6010646,32.59961,0,35.13114,0
5.711707,0.6011422,32.71854,0,34.7569,0
5.776927,0.6021207,32.84202,0,34.15645,0
5.846463,0.6033306,32.97082,0,33.36473,0
5.921494,0.6026983,33.10729,0,32.44499,0
6.00038,0.6026533,33.24895,0,31.44864,0
6.08249,0.603822,33.39519,0,30.45268,0
6.167311,0.6063995,33.54581,0,29.45964,0
6.258112,0.6050573,33.70681,0,30.4617,0
6.352575,0.6035289,33.87424,0,31.46512,0
6.449922,0.6033036,34.04642,0,32.47019,0
6.551778,0.6020193,34.22583,0,33.47301,0
6.657105,0.6018082,34.41006,0,34.47789,0
6.766522,0.6018201,34.59993,0,35.48192,0
6.881247,0.6003647,34.79715,0,36.48435,0
6.999942,0.6000738,34.99881,0,37.48935,0
7.114112,0.6030655,35.19283,0,38.49612,0
7.227234,0.6036269,35.38532,0,39.49751,0
7.338225,0.6036848,35.57418,0,40.50066,0
7.446809,0.6036327,35.75899,0,41.50413,0
7.55383,0.6021519,35.9412,0,42.50616,0
7.658641,0.6004311,36.11958,0,43.50828,0
7.76025,0.600087,36.29247,0,44.51025,0
7.859286,0.6000182,36.46102,0,45.51087,0
7.955889,0.6000044,36.62546,0,46.5102,0
8.05007,0.6000016,36.78585,0,47.50649,0
8.141782,0.6000011,36.94223,0,48.49525,0
8.230903,0.600001,37.09466,0,49.46805,0
8.317239,0.6000009,37.24327,0,50.40763,0
8.400951,0.600001,37.38796,0,51.22498,0
8.481029,0.6000009,37.52931,0,51.8711,0
8.556149,0.6000009,37.66806,0,52.33288,0
8.624928,0.6000009,37.80489,0,52.62084,0
8.687387,0.6000009,37.93962,0,52.68201,0
8.743592,0.6000009,38.07207,0,52.46333,0
8.796711,0.6000008,38.20326,0,52.07927,0
8.84983,0.5960767,38.33446,0,51.69659,0
8.902948,0.5882287,38.46565,0,51.31531,0
8.956067,0.5764567,38.59685,0,50.9354,0
9.009186,0.5607606,38.72804,0,50.55687,0
